EPIC,Task,Description,Hour

"Web App"

"Project Configuration"
,"Set up project structure and tools","","8"
,"Prepare design assets for development","","16"
,"Build layout using HTML/CSS","","100"
,"Ensure responsive design for all devices","","60"

"Database Design"
,"Data caching","","32"

"CMS Pages"
,"Load CMS pages within the app using in-app browser","","8"

"Authentication"
,"Signup with Email","","8"
,"Signup with Google","","4"
,"Login with email","","4"
,"Login with Google","","4"
,"Reset password","","4"
,"Forgot passowrd","","4"
,"OTP verification","","8"
,"Resend OTP","","4"
,"Mobile verfication","","8"
,"Email verfication","","6"
,"Manage app features depending on the user’s role","","6"
,"MFA","","12"

"Profile Setup"
,"Setup user profile","","8"
,"Setup preference details","","8"

"My Profile"
,"View profile","","8"
,"Update profile","with pictures, email, mobile number","4"
,"Settings","notification/privacy","8"
,"Update email","","4"
,"Update mobile number","","4"
,"Change password","","4"
,"Logout","","2"
,"Delete account","","6"
,"Update preferences","","12"

"Email Notification"
,"Sending email notifications","","8"

"Notification"
,"Display in-app notification list","","8"
,"Manage read/unread status of notifications","","8"
,"Route users based on notification type","","16"
,"Handle receiving and sending push notifications","","8"

"Elastic Search"
,"setup elastic search","","4"
,"fetch result from elastic search","","6"
,"Index search item","","6"

"Dashboard - Teacher"
,"My Classes Cards","","24"
,"Recent Assignments List","","8"
,"Class Overview Page details","","14"
,"Metrics cards","","8"
,"Class Assignments table","","24"
,"Export Class Data","Create and export CSV file","18"

"Rubric Management - Teacher"
,"Upload Rubrics","Covered by Upload file system","8"
,"Fetch Rubric Library","Table and columns view","8"
,"Clone Rubric Stock","","4"
,"Rubric Creator  (AI)","Submit rubric text with instructions","8"
,"Edit Rubric","","12"
,"Delete Rubric","Soft or hard delete","4"
,"Filters & Search","","8"
,"Rubric Editor","","16"

"File Upload System - Teacher"
,"Upload file","PDF, DOCX, PNG, JPG, TXT","18"
,"Download File","","6"
,"Delete file","","4"

"Assignment Types & Marking Flows - Teacher"
,"Extended Response (Essays & Long-Form Tasks)","","6"
,"Add inline comment","","16"
,"Edit Inline comment","","8"
,"Delete inline comment","","4"
,"highlight strengths and weaknesses in the text","","14"
,"Adjust criterion scores and overall score","","6"
,"Generated and display AI feedbacks","per assignments, score, feedbacks","8"
,"Edit Feedback summary","","12"
,"Extract student answer and mapping","","10"
,"Fed data to AI engine","title, due data, class, questions and other metadata","8"
,"Analytics Mapping","","4"
,"Short Answer scoring","","6"
,"Generate AI score and feedback for short answer","For each question, determine correctness against a marking guide or rubric, assign a score, generate short inline feedback, and optionally highlight key phrases.","16"
